0.9,154,148.1,1,1100,451,33.8,27.38,5.26,2,120.8
1.11,153.6,147.6,1.22,1100,451,35.4,28.67,5.04,2,110.8
1.2,154,148,1,1100,451,35.4,28.67,5.04,2,98
1.21,150.4,147.9,1.53,1100,451,34.9,28.27,4.96,1.5,115.3
1.47,152.4,147.7,1.51,1100,451,34.9,28.27,4.96,1.5,94
0.98,154.2,148.5,0.99,1100,451,35.1,28.43,5.17,2,123.3
1.19,153.2,149.9,1.48,1100,451,35.1,28.43,5.17,2,115.5
0.64,152.9,148.5,0.69,1100,451,36.2,29.32,6.01,2.5,139.8
0.86,153.1,149.1,1,1100,451,36.2,29.32,6.01,2.5,138.8
0.82,150,150,0.86,1200,560,48.15,39,3.1,0,65.91
1.06,150,150,0.85,1200,560,48.15,39,3.1,0,55.52
0.81,150,150,1.22,1200,510,47.53,38.5,3.1,0,68.06
1.02,150,150,1.18,1200,510,47.53,38.5,3.1,0,57.65
0.83,150,150,0.7,1200,560,50,40,3.7,1,110.58
1.05,150,150,0.7,1200,560,50,40,3.7,1,78.8
0.82,150,150,1.01,1200,510,50,38,3.6,1,121.78
1.07,150,150,1.01,1200,510,50,38,3.6,1,89.18
0.81,150,150,0.7,1200,560,50,42.5,4.5,1.5,125.13
1.04,150,150,0.7,1200,560,50,42.5,4.5,1.5,86.58
0.81,150,150,1.01,1200,510,50,42.5,4.2,1.5,127.54
1.04,150,150,1.01,1200,510,50,42.5,4.2,1.5,89.13
0.81,150,150,0.85,1200,560,30,22.3,1.9,0,57.22
1.06,150,150,0.85,1200,560,30,22.3,1.9,0,37.57
0.81,150,150,1.22,1200,510,30,22.3,2,0,63.53
1.04,150,150,1.21,1200,510,30,22.3,2,0,48.65
0.81,150,150,0.7,1200,560,30,22.3,2.5,1,71
1.05,150,150,0.7,1200,560,30,22.3,2.5,1,52.6
0.81,150,150,1.01,1200,510,30,22.3,2.3,1,73.39
1.02,150,150,1.01,1200,510,30,22.3,2.3,1,56.15
0.82,150,150,0.7,1200,560,30,25.5,3.1,1.5,79.66
1.06,150,150,0.7,1200,560,30,25.5,3.1,1.5,58.35
0.79,150,150,1.01,1200,510,30,25.5,3.1,1.5,87.01
1.05,150,150,1.01,1200,510,30,25.5,3.1,1.5,59.79
